Old_DBName,Old_Description,New_DBName,New_Description,Confidence (%),Note
access_prop1,AccessToProperty1,AccessToProperty,Access To Property,75,
access_prop2,AccessToProperty2,AccessToProperty,Access To Property,75,
acres,Acreage,LotSizeRangeAcres,Acreage,100,
addl_mo_fee,AddlMonthlyFees,AccessibilityFeatures,POTL Monthly Fee,75,
addr,Address,InternetAddressDisplayYN,Display Address on Internet,100,
a_c,AirConditioning,Cooling,Air Conditioning,75,
all_inc,AllInclusive,RentIncludes,Included in Lease Cost,75,
alt_power1,AlternativePower1,AlternativePower,Alternative Power,75,
alt_power2,AlternativePower2,AlternativePower,Alternative Power,75,
yr_built,ApproxAge,ApproximateAge,Approximate Age,75,
sqft,ApproxSquareFootage,LivingAreaRange,Approximate Square Footage,75,
apt_num,AptUnit,ApartmentNumber,Apartment Number,100,
area,Area,BuildingAreaTotal,Total Area,100,
area_code,AreaCode,BuildingAreaUnits,Total Area Code,75,
tv,Assessment,AssessmentYear,Assessment Year,100,
ass_year,AssessmentYear,AssessmentYear,Assessment Year,75,
bsmt1_out,Basement1,Basement,Basement,75,
bsmt2_out,Basement2,Basement,Basement,75,
br,Bedrooms,BedroomsAboveGrade,# of Bedrooms,100,
br_plus,BedroomsPlus,BedroomsBelowGrade,Bedrooms +,75,
cable,CableTVIncluded,CableYNA,Cable,100,
cac_inc,CacIncluded,RentIncludes,Included in Lease Cost,75,
central_vac,CentralVac,CentralVacuumYN,Central Vacuum,75,
cert_lvl,CertLevel,LockerLevel,Locker Level,75,
td,ClosedDate,,,0,
com_coopb,CommissionCoOpBrokerage,ListOfficeKey,Listing Brokerage,75,
comel_inc,CommonElementsIncluded,RentIncludes,Included in Lease Cost,0,
community,Community,CityRegion,Community,100,
community_code,CommunityCode,CityRegion,Community,75,
cond,Condition,Cooling,Air Conditioning,100,
cndsold_xd,ConditionalExpiryDate,ExpirationDate,Expiry Date,75,
ld,ContractDate,ContractStatus,ContractStatus,75,
dom,DaysOnMarket,,,0,ListingContractDate
cross_st,DirectionsCrossStreets,CrossStreet,Direction/ Main Cross Streets,75,
disp_addr,DisplayAddressOnInternet,InternetAddressDisplayYN,Display Address on Internet,75,
internet,DistributeToInternetPortals,InternetEntireListingDisplayYN,Distribute to Internet,75,
drive,Drive,DriveInLevelShippingDoors,Drive-In Level Shipping Doors #,100,
easement_rest1,EasementsRestrictions1,Disclosures,Easements/ Restrictions,75,
easement_rest2,EasementsRestrictions2,Disclosures,Easements/ Restrictions,75,
easement_rest3,EasementsRestrictions3,Disclosures,Easements/ Restrictions,75,
easement_rest4,EasementsRestrictions4,Disclosures,Easements/ Restrictions,75,
elevator,Elevator,ElevatorType,Elevator,100,
energy_cert,EnergyCertification,,,0,
xd,ExpiryDate,ExpirationDate,Expiry Date,75,
xdtd,ExtensionEntryDate,ExpirationDate,Expiry Date,75,
constr1_out,Exterior1,ConstructionMaterials,Exterior,75,
constr2_out,Exterior2,ConstructionMaterials,Exterior,75,
extras,Extras,PublicRemarksExtras,Extras,100,
den_fr,FamilyRoom,DenFamilyroomYN,Family Room,75,
farm_agri,FarmAgriculture,FarmType,Farm/ Agriculture,75,
fpl_num,FireplaceStove,FireplaceYN,Fireplace/ Stove,75,
comp_pts,FrontingOnNSEW,DirectionFaces,Fronting On,75,
furnished,Furnished,Furnished,Furnished,100,
gar_spaces,GarageSpaces,CoveredSpaces,Garage Parking Spaces,75,
gar_type,GarageType,GarageType,Garage Type,75,
green_pis,GreenPropInfoStatement,VendorPropertyInfoStatement,Seller Property Info Statement,75,
heat_inc,HeatIncluded,RentIncludes,,0,
fuel,HeatSource,HeatSource,Heat Source,75,
heating,HeatType,HeatType,Heat Type,75,
hydro_inc,HydroIncluded,RentIncludes,,0,
num_kit,Kitchens,KitchensAboveGrade,# of Kitchens,100,
kit_plus,KitchensPlus,KitchensBelowGrade,Kitchens +,75,
lsc,LastStatus,MlsStatus,MLS Status,75,
laundry,LaundryAccess,LaundryFeatures,Laundry Access,75,
laundry_lev,LaundryLevel,LaundryFeatures,Laundry Access,75,
lease,LeaseAgreement,Basement,Basement,75,
lse_terms,LeasedTerms,LeasedTerms,Leased Terms,75,
lease_term,LeaseTerm,LeasedTerms,Leased Terms,75,
legal_desc,LegalDescription,TaxLegalDescription,Legal Description,75,
level1,Level1,LegalStories,Level,75,
level10,Level10,LegalStories,Level,75,
level11,Level11,LegalStories,Level,75,
level12,Level12,LegalStories,Level,75,
level2,Level2,LegalStories,Level,75,
level3,Level3,LegalStories,Level,75,
level4,Level4,LegalStories,Level,75,
level5,Level5,LegalStories,Level,75,
level6,Level6,LegalStories,Level,75,
level7,Level7,LegalStories,Level,75,
level8,Level8,LegalStories,Level,75,
level9,Level9,LegalStories,Level,75,
link_yn,Link,LinkProperty,Link Property,100,
link_comment,Link Comment,LinkProperty,Link Property,75,
rltr,ListBrokerage,ListOfficeKey,Listing Brokerage,75,
input_date,ListingEntryDate,ListingKey,Listing Key,75,
lp_dol,ListPrice,ListPrice,List Price,75,
depth,LotDepth,LotDepth,Lot Depth,75,
front_ft,LotFront,FrontageLength,Lot Front,75,
